Name,Label,levenshtein_real,levenshtein_fictional,fuzzy_real,fuzzy_fictional,double_metaphone_real,double_metaphone_fictional,is_dictionary_word
Johnny Kaw,1.0,6,0,60.0,100.0,1,1,0
King Kong statue,1.0,9,0,58.06451612903225,100.0,0,1,1
King Matt the First Monument,1.0,19,0,47.82608695652174,100.0,0,1,1
La Spigolatrice,1.0,9,0,59.25925925925925,100.0,0,1,1
Make Way for Ducklings statue,1.0,20,0,50.0,100.0,0,1,1
Manneken Pis,1.0,6,0,58.33333333333333,100.0,0,1,0
Marieke,1.0,5,0,63.1578947368421,100.0,0,1,0
Statue of McDull,1.0,10,0,51.61290322580645,100.0,0,1,1
Mephistopheles and Margaretta,1.0,19,0,53.333333333333336,100.0,0,1,1
Artyomka Monument,1.0,10,0,58.06451612903225,100.0,0,1,1
Statue of Paddington Bear,1.0,13,0,60.0,100.0,0,1,1
Partners,1.0,5,0,63.1578947368421,100.0,0,1,0
Paul Bunyan and Babe the Blue Ox,1.0,21,0,47.82608695652174,100.0,0,1,1
Peter Pan statue,1.0,9,0,59.25925925925925,100.0,0,1,1
Reksio Monument,1.0,9,0,55.172413793103445,100.0,0,1,1
Statue of Rip Van Winkle,1.0,14,0,52.63157894736843,100.0,0,1,1
RoboCop statue,1.0,8,0,53.333333333333336,100.0,0,1,1
Rocky statue,1.0,6,0,64.0,100.0,0,1,1
Statue of Rocky Balboa,1.0,14,0,51.42857142857142,100.0,0,1,1
Romeo and Juliet,1.0,9,0,58.06451612903225,100.0,0,1,1
Santa Claus,1.0,6,0,64.0,100.0,0,1,0
Scenes in the Square,1.0,11,0,54.54545454545454,100.0,0,1,1
Shaun in the City,1.0,10,0,60.60606060606061,100.0,0,1,1
Spirit of Ecstasy,1.0,11,0,53.333333333333336,100.0,0,1,1
Statue of Paul Bunyan,1.0,13,0,54.054054054054056,100.0,0,1,1
Statue of René Goscinny,1.0,15,0,50.0,100.0,0,1,1
"Statue of Sherlock Holmes, London",1.0,23,0,43.99999999999999,100.0,0,1,1
Statue of Unicorn Gundam,1.0,15,0,50.0,100.0,0,1,1
Statues of Paul Bunyan,1.0,14,0,52.63157894736843,100.0,0,1,1
Storytellers,1.0,6,0,60.86956521739131,100.0,0,1,0
Tell Monument,1.0,7,0,59.25925925925925,100.0,0,1,1
The Tempest,1.0,7,0,53.84615384615385,100.0,0,1,1
Tex Randall,1.0,5,0,61.53846153846154,100.0,0,1,0
Transformers,1.0,6,0,58.33333333333333,100.0,0,1,0
Uncle Beazley,1.0,5,0,72.72727272727273,100.0,0,1,1
Wawel Dragon and Bartolini Bartholomew Monument,1.0,33,0,43.07692307692308,100.0,0,1,1
Yoda Fountain,1.0,6,0,64.28571428571428,100.0,0,1,1
Agent,1.0,5,0,50.0,100.0,0,1,1
Alternative versions of Captain America,1.0,26,0,46.42857142857143,100.0,0,1,1
Alternative versions of Doctor Fate,1.0,23,0,47.05882352941176,100.0,0,1,1
Alternative versions of Spider-Man,1.0,22,0,48.0,100.0,0,1,1
Alternative versions of Thor,1.0,18,0,52.38095238095239,100.0,0,1,1
Amazing-Man,1.0,6,0,58.33333333333333,100.0,0,1,0
Angantyr,1.0,6,0,53.333333333333336,100.0,0,1,0
