0
Character
Tegwolo
Dramatis personae
Author surrogate
Comic relief
Composite character
Confidant
Double act
Foil
Fool's literature
Gag character
Guest character
Recurring character
Regular character
Supporting character
Sympathetic character
Unseen character
Anri
Carrie Mark
Columbia
Holly Hobbie
Lina Leskowitz
Robin Sage
Saint Javelin
Terri Joe
Wifejak
Bumblebee
Cliffjumper
Grimlock
Jazz
Megatron
Optimus Prime
Sideswipe
Soundwave
Spiders Georg
Starscream
The Addams Family Theme
The Berenstain Bears
Cartoons
Ett gammalt fult och elakt troll det var en gång
The Family Madrigal
Funky Worm
Go Go Power Rangers
The Goonies 'R' Good Enough
Heffalumps and Woozles
Herr Mannelig
"Hey, E.T."
The King Is Gone
Lambton Worm
The Laughing Gnome
Meet the Flintstones
Megatron
The Mock Turtle's Song
Mrs. Potato Head
Pac-Man
Pokémon 2.B.A. Master
Pokémon Theme
"Puff, the Magic Dragon"
The Raven
The Smurfs music
Squidward Nose
Stressed Out
"Teletubbies say ""Eh-oh!"""
Thumbelina
The Unicorn
Wuthering Heights
Ace the Dog
"Alina, a Girl with a Jug"
Bagheera Fountain
Beetle Monuments
Behold
Big Tex
Bolek and Lolek Monument
Bremen Town Musicians
Bronze Fonz
Bullwinkle statue
Burnett Memorial Fountain
Columbo statue
David of Sassoun
Dickens and Little Nell
Dr. Seuss Memorial
Don Quixote
Eleanor Rigby
Evil Clown of Middletown
Grigory and Aksinya
Grigory and Aksinya in a boat
Gromit Unleashed
Gromit Unleashed 2
Hiawatha and Minnehaha
Indiana Garfield statues
Jeanneke Pis
Jolly Green Giant statue
Statue of Juliet
Johnny Kaw
King Kong statue
King Matt the First Monument
La Spigolatrice
Make Way for Ducklings statue
Manneken Pis
Marieke
Statue of McDull
Mephistopheles and Margaretta
Artyomka Monument
Statue of Paddington Bear
Partners
Paul Bunyan and Babe the Blue Ox
Peter Pan statue
Reksio Monument
Statue of Rip Van Winkle
RoboCop statue
Rocky statue
Statue of Rocky Balboa
Romeo and Juliet
Santa Claus
Scenes in the Square
Shaun in the City
Spirit of Ecstasy
Statue of Paul Bunyan
Statue of René Goscinny
"Statue of Sherlock Holmes, London"
Statue of Unicorn Gundam
Statues of Paul Bunyan
Storytellers
Tell Monument
The Tempest
Tex Randall
Transformers
Uncle Beazley
Wawel Dragon and Bartolini Bartholomew Monument
Yoda Fountain
Agent
Alternative versions of Captain America
Alternative versions of Doctor Fate
Alternative versions of Spider-Man
Alternative versions of Thor
Amazing-Man
Angantyr
Ant-Man
Aquagirl
Arcee
Arrowette
Atlas
Atlas
Atom
Atomic Skull
Azrael
Aztek
Baldrick
Batgirl
Batwing
Batwoman
Big Man
Black Condor
Black Orchid
Black Spider
Black Widow
Edmund Blackadder
Lady Blackhawk
Blackwing
Blindspot
Blizzard
Blockbuster
Bloodsport
Captain Marvel
Carnage
Cheetah
Chronos
Clayface
Collective Man
Quentin Collins
Commander Steel
Copperhead
Crimson Avenger
Crimson Dynamo
Crimson Fox
Crusher
Cyclone
Decay
El Diablo
Doctor Alchemy
Doctor Fate
Dusk
Firebrand
Firestorm
Rick Flag
Flamebird
Foolkiller
Fury
Ghost Rider
Giant-Man
Godiva
Gog
Golem
Goliath
Gostaham
Green Goblin
Green Lantern
Grimlock
Grizzly
Harlequin
Hate-Monger
Hawkeye
Hawkman
Heap
Hobgoblin
Hornet
Hourman
Howling Commandos
Human Fly
Huntress
Icicle
Jack O'Lantern
Jack O'Lantern
Jester
Jetfire
Jude and Zero
K9
Kangaroo
Kick-Ass
Killer Frost
Kingmaker
"Knights Who Say ""Ni!"""
Kung
Laurel Lance
Liberty Belle
Magdalena
Mala
Mirage
Mist
Mister Fear
Mister Terrific
Ms. Marvel
Murmur
Mysterio
Nemesis
Nemesis
Olympian
Parasite
Patriot
Persuader
Phantom Rider
Piggy
Doctor Poison
Proty
Puck
Quasar
Queen Bee
Red Tornado
Ricochet
Dread Pirate Roberts
Robin
Rocket Red
Ronin
Rose
Rose and Thorn
Jason Rusch
Oliver Sabel and Christian Mann
Scarlet Spider
Scorpio
Scream
Shaggy Man
Silk Spectre
Silver Samurai
Silver Swan
Siren
Smasher
Son of Vulcan
Doctor Spectrum
Spider-Girl
Spider-Woman
Star Sapphire
Starman
Martin Stein
Super-Adaptoid
Super-Chief
Superboy
Supergirl
Superwoman
Tarantula
Terminator
Terra
